epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9801,1.08615,2.11677,1.3989,0.14026,0.08176,0.05467,0.02447,3.05834,inf,4.90006,0.000467346,0.000467346,0.000467346
2,55.9522,1.24105,1.57628,1.48072,0.00495,0.00657,0.00042,9e-05,4.21044,19.026,17.3377,0.000934337,0.000934337,0.000934337
3,76.3252,1.27396,1.52496,1.47574,0.05033,0.18904,0.04566,0.01863,2.72544,63.1813,4.99887,0.0013919,0.0013919,0.0013919
4,96.4665,1.2182,1.36856,1.42896,0.32773,0.28914,0.23962,0.11115,1.6628,5.83029,2.72316,0.00138656,0.00138656,0.00138656
5,117.925,1.19036,1.29099,1.42742,0.56215,0.41818,0.4244,0.26238,1.46637,3.34806,1.98617,0.00137241,0.00137241,0.00137241
6,139.47,1.09498,1.13984,1.33005,0.32763,0.47841,0.31437,0.2017,1.41706,2.47504,1.79371,0.00135826,0.00135826,0.00135826
7,159.677,1.05801,1.10723,1.33068,0.63084,0.49386,0.50531,0.31135,1.31192,2.35013,1.78299,0.00134412,0.00134412,0.00134412
8,182.306,1.03011,1.00881,1.2975,0.68532,0.58719,0.65813,0.4512,1.1722,1.73681,1.50708,0.00132997,0.00132997,0.00132997
9,203.939,1.0217,0.99951,1.30433,0.69772,0.68393,0.70545,0.4688,1.1335,1.3752,1.44281,0.00131582,0.00131582,0.00131582
10,225.507,1.01188,0.97544,1.28994,0.8353,0.7176,0.84,0.58438,1.05673,1.07566,1.37887,0.00130168,0.00130168,0.00130168
11,247.206,0.97975,0.92858,1.27119,0.76818,0.78432,0.80697,0.55908,1.04024,0.95128,1.38502,0.00128753,0.00128753,0.00128753
12,267.646,0.9177,0.85272,1.23438,0.87154,0.84271,0.87195,0.59713,1.04107,0.85039,1.37468,0.00127338,0.00127338,0.00127338
13,289.261,0.92582,0.83535,1.22157,0.75068,0.80033,0.81638,0.58586,1.03022,0.88105,1.34775,0.00125923,0.00125923,0.00125923
14,309.74,0.92334,0.85272,1.22914,0.9086,0.78206,0.87321,0.59143,1.00141,0.86051,1.28835,0.00124509,0.00124509,0.00124509
15,330.075,0.89311,0.80094,1.21604,0.78611,0.83125,0.86399,0.62625,0.94588,0.80692,1.27315,0.00123094,0.00123094,0.00123094
16,353.255,0.9249,0.80721,1.2125,0.87205,0.86505,0.89658,0.63541,0.96171,0.71713,1.27454,0.00121679,0.00121679,0.00121679
17,375.23,0.88246,0.75636,1.20138,0.7888,0.88398,0.87724,0.63941,0.96638,0.80312,1.2786,0.00120265,0.00120265,0.00120265
18,399.004,0.87762,0.75582,1.18193,0.92177,0.89251,0.9355,0.68262,0.9,0.65859,1.2424,0.0011885,0.0011885,0.0011885
19,427.527,0.87406,0.72053,1.19346,0.88636,0.87805,0.91435,0.6784,0.90078,0.61151,1.23308,0.00117435,0.00117435,0.00117435
20,451.064,0.86321,0.72344,1.18323,0.85948,0.86352,0.90664,0.67846,0.91174,0.74544,1.247,0.00116021,0.00116021,0.00116021
21,472.921,0.87099,0.747,1.20323,0.89222,0.86401,0.91245,0.69038,0.89525,0.65583,1.1996,0.00114606,0.00114606,0.00114606
22,494.151,0.87536,0.71679,1.18754,0.88176,0.86107,0.91753,0.69338,0.86943,0.66627,1.19156,0.00113191,0.00113191,0.00113191
23,516.473,0.81272,0.67123,1.16335,0.90461,0.90018,0.91951,0.68685,0.88648,0.61396,1.21057,0.00111776,0.00111776,0.00111776
24,539.873,0.8321,0.64478,1.17087,0.89798,0.86842,0.90271,0.68119,0.87453,0.63663,1.20272,0.00110362,0.00110362,0.00110362
25,563.728,0.83396,0.67329,1.16628,0.85335,0.93137,0.93036,0.70923,0.84953,0.57456,1.1845,0.00108947,0.00108947,0.00108947
26,586.54,0.82544,0.65472,1.15151,0.9144,0.91795,0.93275,0.68161,0.92781,0.61574,1.22915,0.00107532,0.00107532,0.00107532
27,610.211,0.82478,0.63477,1.1583,0.92067,0.89344,0.92025,0.68461,0.8575,0.60423,1.18843,0.00106118,0.00106118,0.00106118
28,630.814,0.84339,0.66947,1.16491,0.88521,0.88875,0.91743,0.67358,0.86338,0.6162,1.21617,0.00104703,0.00104703,0.00104703
29,650.954,0.83024,0.63415,1.15308,0.91079,0.89839,0.94597,0.71055,0.85158,0.5791,1.16684,0.00103288,0.00103288,0.00103288
30,672.112,0.79229,0.60479,1.13761,0.88145,0.87432,0.90911,0.67132,0.88436,0.56615,1.20812,0.00101873,0.00101873,0.00101873
31,693.976,0.82236,0.62265,1.14686,0.9166,0.9085,0.9285,0.71936,0.81369,0.54302,1.14298,0.00100459,0.00100459,0.00100459
32,716.024,0.7927,0.62384,1.13543,0.87076,0.90617,0.91182,0.68679,0.85465,0.58843,1.17939,0.00099044,0.00099044,0.00099044
33,737.005,0.80056,0.60228,1.13949,0.90266,0.90303,0.93694,0.71266,0.86702,0.55669,1.17299,0.000976293,0.000976293,0.000976293
34,756.975,0.81755,0.6112,1.14515,0.91228,0.90554,0.9334,0.7153,0.84785,0.57056,1.15906,0.000962146,0.000962146,0.000962146
35,778.035,0.78149,0.58227,1.13316,0.91524,0.90284,0.92439,0.71264,0.83713,0.53921,1.16165,0.000947999,0.000947999,0.000947999
36,801.499,0.75763,0.56074,1.10515,0.92137,0.89077,0.92748,0.7204,0.83809,0.53494,1.17114,0.000933851,0.000933851,0.000933851
37,825.939,0.77578,0.56944,1.1296,0.92647,0.87782,0.93051,0.71791,0.85778,0.54293,1.17926,0.000919704,0.000919704,0.000919704
38,847.211,0.75824,0.55193,1.12486,0.91556,0.92257,0.94337,0.72819,0.82559,0.50442,1.1656,0.000905557,0.000905557,0.000905557
39,875.733,0.7752,0.56172,1.14859,0.90526,0.94283,0.94256,0.7252,0.84785,0.52715,1.16823,0.00089141,0.00089141,0.00089141
40,897.518,0.77119,0.57307,1.12655,0.90775,0.91342,0.94005,0.7316,0.8189,0.55,1.15026,0.000877263,0.000877263,0.000877263
41,922.696,0.75819,0.54803,1.12677,0.94152,0.89129,0.93129,0.70589,0.85888,0.53409,1.18513,0.000863116,0.000863116,0.000863116
42,943.811,0.75881,0.56344,1.10567,0.91922,0.9104,0.93575,0.71629,0.82967,0.52352,1.16558,0.000848969,0.000848969,0.000848969
43,967.268,0.74546,0.53345,1.10597,0.92431,0.92475,0.9452,0.72022,0.84767,0.53653,1.17956,0.000834822,0.000834822,0.000834822
44,989.465,0.75836,0.53874,1.1119,0.873,0.92021,0.91154,0.70184,0.82782,0.56327,1.17092,0.000820675,0.000820675,0.000820675
45,1011.69,0.75076,0.54108,1.11272,0.88602,0.92927,0.93136,0.71647,0.84675,0.52921,1.18585,0.000806528,0.000806528,0.000806528
46,1033.32,0.74228,0.53423,1.10127,0.91176,0.91389,0.93781,0.72145,0.83041,0.49235,1.16858,0.00079238,0.00079238,0.00079238
47,1056.73,0.73628,0.52744,1.10869,0.91112,0.90852,0.93994,0.74481,0.80598,0.49919,1.14262,0.000778233,0.000778233,0.000778233
48,1079.89,0.73606,0.52113,1.1113,0.90363,0.90862,0.93998,0.73447,0.81625,0.50111,1.17481,0.000764086,0.000764086,0.000764086
49,1101.46,0.71931,0.48566,1.09122,0.91646,0.92119,0.92746,0.71053,0.87185,0.51303,1.19144,0.000749939,0.000749939,0.000749939
50,1121.38,0.75049,0.51357,1.11447,0.93041,0.93209,0.93971,0.73486,0.82625,0.50586,1.13857,0.000735792,0.000735792,0.000735792
51,1141.1,0.71234,0.51781,1.10427,0.92183,0.93713,0.94934,0.73914,0.79988,0.46161,1.13933,0.000721645,0.000721645,0.000721645
52,1160.97,0.69983,0.4848,1.07727,0.92525,0.92029,0.94594,0.74956,0.79183,0.46636,1.13624,0.000707498,0.000707498,0.000707498
53,1182.01,0.70089,0.48913,1.07909,0.93192,0.9193,0.94903,0.74233,0.79672,0.46783,1.13847,0.000693351,0.000693351,0.000693351
54,1201.94,0.72177,0.49278,1.09631,0.93991,0.93162,0.94554,0.7436,0.80562,0.46644,1.14323,0.000679204,0.000679204,0.000679204
55,1221.63,0.6904,0.47282,1.09112,0.91911,0.92096,0.93627,0.73844,0.81771,0.49495,1.14286,0.000665057,0.000665057,0.000665057
56,1241.63,0.68173,0.47826,1.07455,0.93084,0.92871,0.94664,0.73602,0.82502,0.46907,1.15418,0.000650909,0.000650909,0.000650909
57,1261.89,0.7093,0.47837,1.0864,0.93752,0.91759,0.94374,0.73938,0.79273,0.46474,1.1385,0.000636762,0.000636762,0.000636762
58,1281.94,0.70078,0.4776,1.07934,0.92183,0.91863,0.9319,0.73437,0.79624,0.49033,1.13763,0.000622615,0.000622615,0.000622615
59,1301.64,0.67051,0.44889,1.05964,0.91232,0.92101,0.93958,0.7415,0.78516,0.45874,1.12676,0.000608468,0.000608468,0.000608468
60,1321.45,0.70579,0.46945,1.07069,0.93179,0.93261,0.93209,0.72521,0.78582,0.4361,1.13134,0.000594321,0.000594321,0.000594321
61,1341.42,0.68179,0.45099,1.06393,0.93441,0.9258,0.94797,0.75971,0.77756,0.43538,1.1063,0.000580174,0.000580174,0.000580174
62,1362.54,0.66731,0.44429,1.04683,0.93267,0.92016,0.92894,0.73945,0.78756,0.45797,1.13294,0.000566027,0.000566027,0.000566027
63,1382.27,0.67061,0.44099,1.06574,0.91418,0.92574,0.93937,0.74463,0.7877,0.45866,1.1323,0.00055188,0.00055188,0.00055188
64,1402.32,0.67168,0.44048,1.06724,0.93707,0.93768,0.9414,0.75075,0.78078,0.43149,1.11895,0.000537733,0.000537733,0.000537733
65,1422.39,0.65552,0.44534,1.05544,0.93484,0.93344,0.95024,0.75769,0.79022,0.44992,1.11047,0.000523586,0.000523586,0.000523586
66,1443.14,0.6766,0.4562,1.065,0.92702,0.92519,0.94477,0.74077,0.78534,0.47114,1.12793,0.000509438,0.000509438,0.000509438
67,1463.01,0.6767,0.45035,1.07221,0.92067,0.91064,0.93466,0.74987,0.78687,0.48451,1.13611,0.000495291,0.000495291,0.000495291
68,1483.05,0.66578,0.43167,1.05729,0.90752,0.92104,0.94878,0.75694,0.77701,0.43744,1.11152,0.000481144,0.000481144,0.000481144
69,1503.17,0.65849,0.44518,1.0639,0.94139,0.92637,0.94843,0.75375,0.77241,0.44508,1.11955,0.000466997,0.000466997,0.000466997
70,1523.13,0.67705,0.4303,1.06672,0.92723,0.94442,0.95216,0.75843,0.79562,0.42022,1.1106,0.00045285,0.00045285,0.00045285
71,1543.13,0.66793,0.43496,1.057,0.94255,0.93945,0.95691,0.75943,0.77432,0.43103,1.11224,0.000438703,0.000438703,0.000438703
72,1564.49,0.64212,0.41987,1.04288,0.93756,0.9309,0.94877,0.75003,0.78048,0.43612,1.13335,0.000424556,0.000424556,0.000424556
73,1584.84,0.63684,0.41551,1.04585,0.93316,0.9199,0.95122,0.75308,0.78871,0.44337,1.1396,0.000410409,0.000410409,0.000410409
74,1604.64,0.64184,0.40315,1.04728,0.92683,0.92783,0.95015,0.75903,0.7844,0.45171,1.13108,0.000396262,0.000396262,0.000396262
75,1625.35,0.62183,0.40546,1.0371,0.94193,0.91897,0.94072,0.7537,0.78264,0.43832,1.12484,0.000382115,0.000382115,0.000382115
76,1645.05,0.61827,0.39902,1.03368,0.93804,0.92627,0.95158,0.76094,0.76532,0.42454,1.12506,0.000367967,0.000367967,0.000367967
77,1666.08,0.62321,0.40687,1.03902,0.93695,0.9342,0.95187,0.75879,0.77688,0.42514,1.13011,0.00035382,0.00035382,0.00035382
78,1685.73,0.61554,0.39646,1.04205,0.94789,0.93058,0.94631,0.75043,0.78158,0.43728,1.12114,0.000339673,0.000339673,0.000339673
79,1706.45,0.63002,0.39508,1.03622,0.93936,0.92282,0.95046,0.76414,0.75829,0.44038,1.12739,0.000325526,0.000325526,0.000325526
80,1727.79,0.62506,0.40054,1.03918,0.9336,0.92516,0.95373,0.76085,0.78122,0.42935,1.1142,0.000311379,0.000311379,0.000311379
81,1747.76,0.61807,0.37635,1.04684,0.92813,0.9405,0.95785,0.77075,0.77051,0.42264,1.10017,0.000297232,0.000297232,0.000297232
82,1768.62,0.62419,0.39454,1.03688,0.93386,0.9303,0.94919,0.76092,0.78349,0.41598,1.12109,0.000283085,0.000283085,0.000283085
83,1788.14,0.60073,0.38263,1.02987,0.93487,0.94223,0.95025,0.76289,0.77852,0.40767,1.11639,0.000268938,0.000268938,0.000268938
84,1807.86,0.61043,0.39448,1.03541,0.95533,0.92687,0.95484,0.76591,0.76846,0.41229,1.11209,0.000254791,0.000254791,0.000254791
85,1827.41,0.59025,0.38185,1.02417,0.9354,0.94429,0.95465,0.77248,0.77273,0.43926,1.11749,0.000240644,0.000240644,0.000240644
86,1848.25,0.58936,0.38305,1.03078,0.93444,0.95421,0.95242,0.76466,0.76579,0.4188,1.11617,0.000226497,0.000226497,0.000226497
87,1867.75,0.61025,0.38903,1.03587,0.93391,0.94353,0.95273,0.75974,0.76427,0.41785,1.11843,0.000212349,0.000212349,0.000212349
88,1888.56,0.59173,0.3784,1.0261,0.93377,0.92821,0.94912,0.75935,0.77247,0.42593,1.13048,0.000198202,0.000198202,0.000198202
89,1908.46,0.57968,0.36102,1.01708,0.94634,0.90734,0.95286,0.7727,0.76829,0.43447,1.10878,0.000184055,0.000184055,0.000184055
90,1929.63,0.56291,0.35903,1.00986,0.94165,0.92983,0.95522,0.77011,0.77687,0.41476,1.12202,0.000169908,0.000169908,0.000169908
91,1970.62,0.58303,0.31538,1.00754,0.93635,0.91897,0.94246,0.74898,0.78536,0.41214,1.14084,0.000155761,0.000155761,0.000155761
92,1990.43,0.57101,0.29737,1.00478,0.93869,0.92697,0.95172,0.75423,0.7655,0.42151,1.11829,0.000141614,0.000141614,0.000141614
93,2010.34,0.55514,0.28783,1.00154,0.94251,0.91246,0.94657,0.76391,0.75474,0.41542,1.11964,0.000127467,0.000127467,0.000127467
94,2030.25,0.54623,0.29388,0.99741,0.93416,0.92372,0.94108,0.75327,0.75471,0.41623,1.11541,0.00011332,0.00011332,0.00011332
95,2050.27,0.5426,0.28242,0.982,0.94093,0.92561,0.94874,0.7603,0.75416,0.41228,1.1071,9.91726e-05,9.91726e-05,9.91726e-05
96,2070.46,0.54553,0.28636,0.98582,0.94681,0.93277,0.94149,0.75322,0.76756,0.40815,1.12224,8.50255e-05,8.50255e-05,8.50255e-05
97,2090.46,0.53813,0.27652,0.98842,0.94817,0.93127,0.94129,0.76406,0.76419,0.39585,1.11251,7.08784e-05,7.08784e-05,7.08784e-05
98,2110.34,0.53485,0.28158,0.97773,0.93884,0.95133,0.95357,0.76558,0.76053,0.38397,1.11188,5.67313e-05,5.67313e-05,5.67313e-05
99,2130.37,0.52267,0.27662,0.97684,0.9391,0.95035,0.94704,0.76159,0.75292,0.38006,1.10466,4.25842e-05,4.25842e-05,4.25842e-05
100,2150.35,0.52436,0.26947,0.98001,0.94597,0.93932,0.94765,0.7613,0.75391,0.38411,1.1058,2.84371e-05,2.84371e-05,2.84371e-05
